id,longitude,latitude,property_type,price
13913,-0.1127,51.56861,Private room in rental unit,$70.00
15400,-0.16813,51.4878,Entire rental unit,$149.00
17402,-0.14094,51.52195,Entire rental unit,$411.00
24328,-0.16266,51.47072,Entire townhouse,NA
36274,-0.06979,51.52322,Entire condo,$210.00
36299,-0.28107,51.48145,Entire townhouse,$280.00
36660,-0.16057,51.58478,Private room in home,$90.00
38605,-0.23345,51.50681,Private room in townhouse,$61.00
38610,-0.23362,51.50701,Entire townhouse,$340.00
38995,-0.06114,51.4786,Private room in rental unit,$49.00
39387,-0.19942,51.52605,Private room in condo,NA
41445,-0.25632,51.61492,Entire rental unit,$213.00
41509,-0.25568,51.49351,Private room in rental unit,NA
41712,-0.10199840260164691,51.50191005333056,Private room in rental unit,$96.00
41870,0.00258,51.5584,Private room in home,NA
42010,-0.16434000000000001,51.5859,Private room in home,$71.00
42692,-0.21562,51.50822,Private room in rental unit,NA
43129,-0.21082,51.48164,Private room in townhouse,$48.00
43202,-0.21713,51.53031,Entire rental unit,NA
45163,-0.1975,51.55312,Private room in condo,$76.00
45168,-0.1977,51.51812,Entire rental unit,NA
46992,-0.05215,51.55165,Private room in condo,NA
47192,-0.14344,51.52958,Private room in rental unit,$50.00
47687,-0.22929,51.4934,Entire rental unit,$78.00
49970,-0.22923,51.49462,Room in serviced apartment,$79.00
52624,-0.21226130000000001,51.419262,Private room in home,$86.00
55402,-0.11565,51.37487,Entire condo,NA
56229,-0.22942,51.49547,Entire rental unit,$78.00
63948,-0.22864,51.49547,Entire rental unit,$89.00
66772,-0.22914,51.4937,Room in aparthotel,$79.00
67851,-0.05905,51.54092,Entire rental unit,$159.00
67934,-0.26268,51.60268,Private room in home,$40.00
69198,-0.09408,51.59031,Private room in rental unit,$53.00
72913,-0.11593,51.48128,Private room in townhouse,NA
73431,-0.11023,51.46161,Entire condo,$117.00
78606,0.01045,51.57322,Private room in rental unit,$106.00
78892,-0.08007,51.46478,Private room in home,NA
79129,-0.2117,51.39648,Private room in home,$35.00
79571,-0.16183,51.49096,Entire rental unit,NA
80123,-0.15556,51.45173,Entire rental unit,$110.00
81052,-0.10221,51.53917,Entire rental unit,NA
81080,-0.33563,51.40644,Entire serviced apartment,$169.00
81410,-0.13932,51.52139,Entire rental unit,$417.00
81449,-0.066283,51.51045,Entire rental unit,$163.00
81635,-0.10923,51.52707,Private room in loft,$125.00
81951,0.15463,51.58388,Entire home,$217.00
83027,0.0437,51.46709,Private room in home,$43.00
84223,-0.10741279161829258,51.4866805584786,Private room in condo,$57.00
85191,-0.1157,51.49168,Private room in home,$75.00
86092,-0.19752,51.48606,Entire rental unit,$145.00
87827,-0.18997,51.5107,Private room in rental unit,NA
89787,-0.43175,51.44742,Entire rental unit,NA
89870,-0.11125,51.56792,Entire rental unit,$135.00
90962,-0.22552756185104425,51.488117114663645,Private room in townhouse,$80.00
91287,-0.11712,51.54026,Entire rental unit,$160.00
92352,-0.09881,51.54113,Entire condo,NA
92399,-0.08324,51.55104,Entire guest suite,$90.00
93015,-0.21707,51.49993,Entire rental unit,$175.00
93783,-0.1958713,51.5186241,Entire rental unit,$350.00
94138,-0.05293,51.52764,Entire condo,NA
97506,-0.12161,51.42996,Private room in rental unit,$60.00
98541,-0.13948,51.57271,Entire rental unit,$100.00
100479,-0.0561,51.52819,Private room in rental unit,NA
102565,-0.10952,51.50551,Private room in rental unit,$120.00
103682,-0.03215,51.5347,Private room in townhouse,NA
103865,-0.22561909528566412,51.48653170573839,Private room in home,$192.00
106332,-0.05396,51.52874,Private room in home,$55.00
107051,-0.18317,51.52055,Houseboat,$176.00
116268,-0.1212543518031472,51.611454397815734,Private room in townhouse,$36.00
117203,-0.2330022236049805,51.50155001001136,Entire rental unit,$135.00
